ID,Prompt,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Task Type,Unnamed: 13,Difficulty
1024,Analyze how chunking strategy affects retrieval quality in a RAG system.,,,,,,,,,,,AI Analysis,,Hard
1025,Explain how a saga pattern manages distributed transactions.,,,,,,,,,,,Explanation,,Medium
1026,Explain how a mutex prevents race conditions.,,,,,,,,,,,Explanation,,Medium
1027,"Translate ""I am visiting for the first time."" into Korean.",,,,,,,,,,,Translation,,Easy
1028,Design an ML pipeline for detecting bot accounts on a social platform.,,,,,,,,,,,ML,,Hard
1029,Design a fault-tolerant architecture for a global DNS service.,,,,,,,,,,,Architecture,,Hard
1030,Design a scalable architecture for an online auction platform.,,,,,,,,,,,Architecture,,Hard
1031,What is the capital of Ivory Coast?,,,,,,,,,,,Factual QA,,Easy
1032,Convert 100 kilometers per hour to meters per second.,,,,,,,,,,,Mathematics,,Easy
1033,Write a Python program to implement a basic key-value store with expiry.,,,,,,,,,,,Coding,,Medium
1034,What is 132 + 18?,,,,,,,,,,,Mathematics,,Easy
1035,What is 110 + 278?,,,,,,,,,,,Mathematics,,Easy
1036,What is a factory pattern?,,,,,,,,,,,Factual QA,,Easy
1037,Compare in-memory and on-disk databases for a low-latency application.,,,,,,,,,,,Analysis,,Medium
1038,What is 292 + 111?,,,,,,,,,,,Mathematics,,Easy
1039,Design an algorithm for efficiently detecting near-duplicate documents using similarity hashing.,,,,,,,,,,,Algorithm,,Hard
1040,Explain how feature toggles enable safe rollouts.,,,,,,,,,,,Explanation,,Medium
1041,Calculate the probability of drawing a red card from a standard deck.,,,,,,,,,,,Mathematics,,Medium
1042,What is the capital of Azerbaijan?,,,,,,,,,,,Factual QA,,Easy
1043,What is an integration test?,,,,,,,,,,,Factual QA,,Easy
1044,What is a changelog?,,,,,,,,,,,Factual QA,,Easy
1045,Explain how a leader-follower replication model works in databases.,,,,,,,,,,,Explanation,,Medium
1046,Design a distributed architecture for a real-time weather forecasting service.,,,,,,,,,,,Architecture,,Hard
1047,Write a Python program to generate a list of odd numbers from 1 to 50.,,,,,,,,,,,Coding,,Easy
1048,Write a Python program to check whether two lists have any common elements.,,,,,,,,,,,Coding,,Easy
1049,What is 70 multiplied by 91?,,,,,,,,,,,Mathematics,,Easy
1050,Write a Python program to find all common elements between two lists.,,,,,,,,,,,Coding,,Easy
1051,What is 29 - 180?,,,,,,,,,,,Mathematics,,Easy
1052,Design a highly available architecture for a customer identity management system.,,,,,,,,,,,Architecture,,Hard
1053,Explain how denormalization improves read performance.,,,,,,,,,,,Explanation,,Medium
1054,Explain the difference between a data warehouse and a data lake.,,,,,,,,,,,Factual QA,,Medium
1055,What is the capital of Sudan?,,,,,,,,,,,Factual QA,,Easy
1056,Develop a rollout plan for a breaking API version change across external clients.,,,,,,,,,,,Planning,,Hard
1057,What is 163 + 2?,,,,,,,,,,,Mathematics,,Easy
1058,What is the capital of Libya?,,,,,,,,,,,Factual QA,,Easy
1059,What is a production environment?,,,,,,,,,,,Factual QA,,Easy
1060,Debug a scenario where a distributed lock fails to release properly.,,,,,,,,,,,Debugging,,Hard
1061,What is 160 - 148?,,,,,,,,,,,Mathematics,,Easy
1062,What is 178 + 104?,,,,,,,,,,,Mathematics,,Easy
1063,What is 135 + 268?,,,,,,,,,,,Mathematics,,Easy
1064,Write a Python program to check whether a number is a perfect number.,,,,,,,,,,,Coding,,Easy
1065,What is 282 - 122?,,,,,,,,,,,Mathematics,,Easy
1066,What is a code linter?,,,,,,,,,,,Factual QA,,Easy
1067,What is 214 multiplied by 104?,,,,,,,,,,,Mathematics,,Easy
1068,Explain how a health check keeps a service reliable.,,,,,,,,,,,Explanation,,Medium
1069,What is 267 multiplied by 66?,,,,,,,,,,,Mathematics,,Easy
1070,What is the capital of Belize?,,,,,,,,,,,Factual QA,,Easy
1071,What is an alerting threshold?,,,,,,,,,,,Factual QA,,Easy
1072,Explain how a B-tree index works in a database.,,,,,,,,,,,Explanation,,Medium
1073,Develop an optimization strategy for reducing the memory footprint of a large in-memory cache.,,,,,,,,,,,Optimization,,Hard
1074,Write a Python function to find the difference between two lists.,,,,,,,,,,,Coding,,Easy
1075,What is 53 + 218?,,,,,,,,,,,Mathematics,,Easy
1076,Develop an algorithm for load-balancing tasks across heterogeneous worker nodes.,,,,,,,,,,,Algorithm,,Hard
1077,Convert 1 acre to square meters.,,,,,,,,,,,Mathematics,,Easy
1078,What is 178 + 79?,,,,,,,,,,,Mathematics,,Easy
1079,Explain how graceful degradation keeps a system partially functional during failures.,,,,,,,,,,,Explanation,,Medium
1080,What is the capital of Kazakhstan?,,,,,,,,,,,Factual QA,,Easy
1081,What is 7 + 263?,,,,,,,,,,,Mathematics,,Easy
1082,Design an AI-powered onboarding assistant for new software engineers.,,,,,,,,,,,AI Architecture,,Hard
1083,Explain how database normalization reduces redundancy.,,,,,,,,,,,Explanation,,Medium
1084,What is the capital of Liechtenstein?,,,,,,,,,,,Factual QA,,Easy
1085,What is a binary number system?,,,,,,,,,,,Factual QA,,Easy
1086,Write a Python program to implement a simple pub/sub system using classes.,,,,,,,,,,,Coding,,Medium
1087,What is a hotfix?,,,,,,,,,,,Factual QA,,Easy
1088,Design a basic rollout plan for switching a team's project management tool.,,,,,,,,,,,Planning,,Medium
1089,Analyze a dataset of A/B test results to determine statistical significance.,,,,,,,,,,,Data Analysis,,Hard
1090,What is on-call rotation?,,,,,,,,,,,Factual QA,,Easy
1091,A tank holds 500 liters and is filled at 25 liters per minute. How long will it take to fill?,,,,,,,,,,,Mathematics,,Easy
1092,"Find the determinant of the matrix [[3,1],[2,4]].",,,,,,,,,,,Mathematics,,Medium
1093,Design a red-teaming process for identifying failure modes in an LLM application.,,,,,,,,,,,AI Evaluation,,Hard
1094,What is 221 - 279?,,,,,,,,,,,Mathematics,,Easy
1095,What is the capital of Botswana?,,,,,,,,,,,Factual QA,,Easy
1096,What is a mock object in testing?,,,,,,,,,,,Factual QA,,Easy
1097,Summarize this conference talk abstract in one sentence.,,,,,,,,,,,Summarization,,Medium
1098,Calculate the compound interest on $1000 at 5% annual rate for 3 years.,,,,,,,,,,,Mathematics,,Medium
1099,What is the capital of Dominican Republic?,,,,,,,,,,,Factual QA,,Easy
1100,"Translate ""Where can I buy tickets?"" into Polish.",,,,,,,,,,,Translation,,Easy
1101,What is 205 + 146?,,,,,,,,,,,Mathematics,,Easy
1102,Explain why database transactions use isolation levels.,,,,,,,,,,,Reasoning,,Medium
1103,Design an AI system for automatically categorizing and routing support emails.,,,,,,,,,,,AI Architecture,,Hard
1104,Design a resilient architecture for a financial risk analysis platform.,,,,,,,,,,,Architecture,,Hard
1105,What is 65 - 53?,,,,,,,,,,,Mathematics,,Easy
1106,"Translate ""I need help."" into Greek.",,,,,,,,,,,Translation,,Easy
1107,What is a metrics dashboard?,,,,,,,,,,,Factual QA,,Easy
1108,"Translate ""Where can I exchange currency?"" into Arabic.",,,,,,,,,,,Translation,,Easy
1109,Design a distributed architecture for a real-time energy grid monitoring system.,,,,,,,,,,,Architecture,,Hard
1110,What is a decorator pattern?,,,,,,,,,,,Factual QA,,Easy
1111,Write a Python function to count the number of uppercase letters in a string.,,,,,,,,,,,Coding,,Easy
1112,What is an SDK?,,,,,,,,,,,Factual QA,,Easy
1113,Explain how a Merkle tree verifies data integrity.,,,,,,,,,,,Explanation,,Medium
1114,What is 298 + 157?,,,,,,,,,,,Mathematics,,Easy
1115,What is technical onboarding?,,,,,,,,,,,Factual QA,,Easy
1116,What is a unit test?,,,,,,,,,,,Factual QA,,Easy
1117,Design a fault-tolerant architecture for an automated trading bot platform.,,,,,,,,,,,Architecture,,Hard
1118,Explain the difference between symmetric and asymmetric encryption.,,,,,,,,,,,Factual QA,,Medium
1119,What is the capital of Mozambique?,,,,,,,,,,,Factual QA,,Easy
1120,Write a Python function to capitalize the first letter of each word in a sentence.,,,,,,,,,,,Coding,,Easy
1121,Explain how exponential backoff works in retry logic.,,,,,,,,,,,Explanation,,Medium
1122,"Translate ""This is delicious."" into German.",,,,,,,,,,,Translation,,Easy
1123,Design a feature store architecture for serving real-time ML predictions.,,,,,,,,,,,ML,,Hard
1124,Explain how a write-ahead log ensures durability.,,,,,,,,,,,Explanation,,Medium
1125,"Translate ""I am tired."" into Dutch.",,,,,,,,,,,Translation,,Easy
1126,"Translate ""How do I get to the airport?"" into Russian.",,,,,,,,,,,Translation,,Easy
1127,What is 110 - 293?,,,,,,,,,,,Mathematics,,Easy
1128,What is 64 - 145?,,,,,,,,,,,Mathematics,,Easy
1129,What is the capital of Cameroon?,,,,,,,,,,,Factual QA,,Easy
1130,Extract all book titles mentioned in this review.,,,,,,,,,,,Extraction,,Easy
1131,What is dependency injection?,,,,,,,,,,,Factual QA,,Easy
1132,What is distributed tracing?,,,,,,,,,,,Factual QA,,Easy
1133,What is 111 + 239?,,,,,,,,,,,Mathematics,,Easy
1134,"Translate ""Can I have the bill, please?"" into Chinese.",,,,,,,,,,,Translation,,Easy
1135,What is an idempotent operation?,,,,,,,,,,,Factual QA,,Easy
1136,Design a scalable architecture for a peer-to-peer video calling application.,,,,,,,,,,,Architecture,,Hard
1137,What is 295 + 90?,,,,,,,,,,,Mathematics,,Easy
1138,Analyze conflicting requirements between low latency and strong data consistency.,,,,,,,,,,,Reasoning,,Hard
1139,Analyze the trade-offs between using a shared database and database-per-service in microservices.,,,,,,,,,,,Analysis,,Hard
1140,What is 133 - 113?,,,,,,,,,,,Mathematics,,Easy
1141,What is the capital of Suriname?,,,,,,,,,,,Factual QA,,Easy
1142,Design a scalable architecture for a large-scale email marketing platform.,,,,,,,,,,,Architecture,,Hard
1143,What is observability?,,,,,,,,,,,Factual QA,,Easy
1144,Compare snapshot isolation and serializable isolation in databases.,,,,,,,,,,,Analysis,,Medium
1145,Design a scalable architecture for a crowdsourced navigation app.,,,,,,,,,,,Architecture,,Hard
1146,What is 270 + 225?,,,,,,,,,,,Mathematics,,Easy
1147,What is 241 + 295?,,,,,,,,,,,Mathematics,,Easy
1148,What is 273 - 217?,,,,,,,,,,,Mathematics,,Easy
1149,Develop an algorithm for optimal bin packing given a set of item sizes.,,,,,,,,,,,Algorithm,,Hard
1150,What is a singleton pattern?,,,,,,,,,,,Factual QA,,Easy
1151,Explain how API versioning strategies help maintain backward compatibility.,,,,,,,,,,,Explanation,,Medium
1152,Debug a producer-consumer implementation experiencing occasional data loss.,,,,,,,,,,,Coding,,Hard
1153,What is the capital of Barbados?,,,,,,,,,,,Factual QA,,Easy
1154,Explain how a bulkhead pattern isolates failures in a system.,,,,,,,,,,,Explanation,,Medium
1155,Design a strategy for detecting and mitigating credential-stuffing attacks.,,,,,,,,,,,Security,,Hard
1156,What is 70 - 163?,,,,,,,,,,,Mathematics,,Easy
1157,What is 101 + 241?,,,,,,,,,,,Mathematics,,Easy
1158,What is the capital of Guatemala?,,,,,,,,,,,Factual QA,,Easy
1159,Design an intrusion detection strategy for a cloud-based application.,,,,,,,,,,,Security,,Hard
1160,What is a software license?,,,,,,,,,,,Factual QA,,Easy
1161,What is test coverage?,,,,,,,,,,,Factual QA,,Easy
1162,Explain the difference between horizontal and vertical partitioning.,,,,,,,,,,,Factual QA,,Medium
