ID,Prompt,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Task Type,Unnamed: 13,Difficulty,cluster_id
976,What is a rolling deployment?,,,,,,,,,,,Factual QA,,Easy,1
977,What is 16 + 95?,,,,,,,,,,,Mathematics,,Easy,3
978,Explain the difference between a monolith and a modular monolith.,,,,,,,,,,,Factual QA,,Medium,6
979,What is 117 multiplied by 57?,,,,,,,,,,,Mathematics,,Easy,3
980,What is a blue-green deployment?,,,,,,,,,,,Factual QA,,Easy,1
981,What is a compiler warning?,,,,,,,,,,,Factual QA,,Easy,1
982,Design a resilient architecture for a decentralized identity verification system.,,,,,,,,,,,Architecture,,Hard,7
983,What is 53 multiplied by 255?,,,,,,,,,,,Mathematics,,Easy,3
984,Summarize a 700-word technical blog post into a short abstract.,,,,,,,,,,,Summarization,,Medium,2
985,What is a code smell?,,,,,,,,,,,Factual QA,,Easy,1
986,"If 3 workers can build a wall in 12 days, how many days will 6 workers take?",,,,,,,,,,,Mathematics,,Easy,8
987,What is the capital of Vatican City?,,,,,,,,,,,Factual QA,,Easy,4
988,What is a stub in testing?,,,,,,,,,,,Factual QA,,Easy,1
989,"Translate ""I lost my passport."" into Russian.",,,,,,,,,,,Translation,,Easy,9
990,"Translate ""I would like to book a table."" into Arabic.",,,,,,,,,,,Translation,,Easy,9
991,What is 59 + 209?,,,,,,,,,,,Mathematics,,Easy,3
992,Prove that a complete binary tree with n nodes has height O(log n).,,,,,,,,,,,Mathematics,,Hard,6
993,What is 267 + 201?,,,,,,,,,,,Mathematics,,Easy,3
994,Design a strategy for handling hot partitions in a sharded database.,,,,,,,,,,,Database,,Hard,7
995,What is the capital of Bhutan?,,,,,,,,,,,Factual QA,,Easy,4
996,Summarize a multi-chapter technical manual into a concise reference guide.,,,,,,,,,,,Summarization,,Hard,2
997,Design an evaluation framework for measuring an LLM's ability to follow complex instructions.,,,,,,,,,,,AI Evaluation,,Hard,5
998,Write a Python function to trim leading and trailing spaces from a string.,,,,,,,,,,,Coding,,Easy,0
999,Design a simple database schema for a gym membership system.,,,,,,,,,,,Planning,,Medium,7
1000,Explain the trade-offs between centralized and decentralized system governance.,,,,,,,,,,,Reasoning,,Hard,6
1001,What is 73 - 169?,,,,,,,,,,,Mathematics,,Easy,3
1002,"Translate ""How far is the train station?"" into Finnish.",,,,,,,,,,,Translation,,Easy,9
1003,Analyze the time complexity of the QuickSelect algorithm.,,,,,,,,,,,Mathematics,,Hard,6
1004,Analyze the risks of using long-lived API keys instead of short-lived tokens.,,,,,,,,,,,Security,,Hard,5
1005,What is 35 multiplied by 261?,,,,,,,,,,,Mathematics,,Easy,3
1006,Design an NLP pipeline for automatically generating meeting summaries from transcripts.,,,,,,,,,,,NLP,,Hard,2
1007,Design a scalable architecture for a warehouse robotics coordination system.,,,,,,,,,,,Architecture,,Hard,7
1008,What is the capital of Kyrgyzstan?,,,,,,,,,,,Factual QA,,Easy,4
1009,What is 84 multiplied by 46?,,,,,,,,,,,Mathematics,,Easy,3
1010,"Translate ""I am looking for a hotel."" into Portuguese.",,,,,,,,,,,Translation,,Easy,9
1011,Compare eager and lazy evaluation strategies in programming languages.,,,,,,,,,,,Analysis,,Medium,5
1012,What is the capital of Haiti?,,,,,,,,,,,Factual QA,,Easy,4
1013,Write a Python program to remove duplicate characters from a string.,,,,,,,,,,,Coding,,Easy,0
1014,What is a webhook payload?,,,,,,,,,,,Factual QA,,Easy,1
1015,Design a fault-tolerant architecture for a healthcare telemetry monitoring system.,,,,,,,,,,,Architecture,,Hard,7
1016,What is a syntax highlighter?,,,,,,,,,,,Factual QA,,Easy,1
1017,"Find the sum of the geometric series 2, 6, 18, 54 up to 5 terms.",,,,,,,,,,,Mathematics,,Medium,8
1018,Design an AI pipeline for detecting anomalies in system logs using an LLM.,,,,,,,,,,,AI Architecture,,Hard,5
1019,Analyze conflicting priorities between rapid feature delivery and system reliability.,,,,,,,,,,,Reasoning,,Hard,5
1020,What is the capital of El Salvador?,,,,,,,,,,,Factual QA,,Easy,4
1021,What is 212 + 31?,,,,,,,,,,,Mathematics,,Easy,3
1022,What is the capital of Afghanistan?,,,,,,,,,,,Factual QA,,Easy,4
1023,What is a smoke test?,,,,,,,,,,,Factual QA,,Easy,1
1024,Analyze how chunking strategy affects retrieval quality in a RAG system.,,,,,,,,,,,AI Analysis,,Hard,5
1025,Explain how a saga pattern manages distributed transactions.,,,,,,,,,,,Explanation,,Medium,6
1026,Explain how a mutex prevents race conditions.,,,,,,,,,,,Explanation,,Medium,6
1027,"Translate ""I am visiting for the first time."" into Korean.",,,,,,,,,,,Translation,,Easy,9
1028,Design an ML pipeline for detecting bot accounts on a social platform.,,,,,,,,,,,ML,,Hard,7
1029,Design a fault-tolerant architecture for a global DNS service.,,,,,,,,,,,Architecture,,Hard,7
1030,Design a scalable architecture for an online auction platform.,,,,,,,,,,,Architecture,,Hard,7
1031,What is the capital of Ivory Coast?,,,,,,,,,,,Factual QA,,Easy,4
1032,Convert 100 kilometers per hour to meters per second.,,,,,,,,,,,Mathematics,,Easy,8
1033,Write a Python program to implement a basic key-value store with expiry.,,,,,,,,,,,Coding,,Medium,0
1034,What is 132 + 18?,,,,,,,,,,,Mathematics,,Easy,3
1035,What is 110 + 278?,,,,,,,,,,,Mathematics,,Easy,3
1036,What is a factory pattern?,,,,,,,,,,,Factual QA,,Easy,1
1037,Compare in-memory and on-disk databases for a low-latency application.,,,,,,,,,,,Analysis,,Medium,5
1038,What is 292 + 111?,,,,,,,,,,,Mathematics,,Easy,3
1039,Design an algorithm for efficiently detecting near-duplicate documents using similarity hashing.,,,,,,,,,,,Algorithm,,Hard,7
1040,Explain how feature toggles enable safe rollouts.,,,,,,,,,,,Explanation,,Medium,1
1041,Calculate the probability of drawing a red card from a standard deck.,,,,,,,,,,,Mathematics,,Medium,8
1042,What is the capital of Azerbaijan?,,,,,,,,,,,Factual QA,,Easy,4
1043,What is an integration test?,,,,,,,,,,,Factual QA,,Easy,1
1044,What is a changelog?,,,,,,,,,,,Factual QA,,Easy,1
1045,Explain how a leader-follower replication model works in databases.,,,,,,,,,,,Explanation,,Medium,6
1046,Design a distributed architecture for a real-time weather forecasting service.,,,,,,,,,,,Architecture,,Hard,7
1047,Write a Python program to generate a list of odd numbers from 1 to 50.,,,,,,,,,,,Coding,,Easy,0
1048,Write a Python program to check whether two lists have any common elements.,,,,,,,,,,,Coding,,Easy,0
1049,What is 70 multiplied by 91?,,,,,,,,,,,Mathematics,,Easy,3
1050,Write a Python program to find all common elements between two lists.,,,,,,,,,,,Coding,,Easy,0
1051,What is 29 - 180?,,,,,,,,,,,Mathematics,,Easy,3
1052,Design a highly available architecture for a customer identity management system.,,,,,,,,,,,Architecture,,Hard,7
1053,Explain how denormalization improves read performance.,,,,,,,,,,,Explanation,,Medium,6
1054,Explain the difference between a data warehouse and a data lake.,,,,,,,,,,,Factual QA,,Medium,6
1055,What is the capital of Sudan?,,,,,,,,,,,Factual QA,,Easy,4
1056,Develop a rollout plan for a breaking API version change across external clients.,,,,,,,,,,,Planning,,Hard,7
1057,What is 163 + 2?,,,,,,,,,,,Mathematics,,Easy,3
1058,What is the capital of Libya?,,,,,,,,,,,Factual QA,,Easy,4
1059,What is a production environment?,,,,,,,,,,,Factual QA,,Easy,1
1060,Debug a scenario where a distributed lock fails to release properly.,,,,,,,,,,,Debugging,,Hard,5
1061,What is 160 - 148?,,,,,,,,,,,Mathematics,,Easy,3
1062,What is 178 + 104?,,,,,,,,,,,Mathematics,,Easy,3
1063,What is 135 + 268?,,,,,,,,,,,Mathematics,,Easy,3
1064,Write a Python program to check whether a number is a perfect number.,,,,,,,,,,,Coding,,Easy,0
1065,What is 282 - 122?,,,,,,,,,,,Mathematics,,Easy,3
1066,What is a code linter?,,,,,,,,,,,Factual QA,,Easy,1
1067,What is 214 multiplied by 104?,,,,,,,,,,,Mathematics,,Easy,3
1068,Explain how a health check keeps a service reliable.,,,,,,,,,,,Explanation,,Medium,5
1069,What is 267 multiplied by 66?,,,,,,,,,,,Mathematics,,Easy,3
1070,What is the capital of Belize?,,,,,,,,,,,Factual QA,,Easy,4
1071,What is an alerting threshold?,,,,,,,,,,,Factual QA,,Easy,1
1072,Explain how a B-tree index works in a database.,,,,,,,,,,,Explanation,,Medium,6
1073,Develop an optimization strategy for reducing the memory footprint of a large in-memory cache.,,,,,,,,,,,Optimization,,Hard,7
1074,Write a Python function to find the difference between two lists.,,,,,,,,,,,Coding,,Easy,0
1075,What is 53 + 218?,,,,,,,,,,,Mathematics,,Easy,3
1076,Develop an algorithm for load-balancing tasks across heterogeneous worker nodes.,,,,,,,,,,,Algorithm,,Hard,7
1077,Convert 1 acre to square meters.,,,,,,,,,,,Mathematics,,Easy,8
1078,What is 178 + 79?,,,,,,,,,,,Mathematics,,Easy,3
1079,Explain how graceful degradation keeps a system partially functional during failures.,,,,,,,,,,,Explanation,,Medium,5
1080,What is the capital of Kazakhstan?,,,,,,,,,,,Factual QA,,Easy,4
1081,What is 7 + 263?,,,,,,,,,,,Mathematics,,Easy,3
1082,Design an AI-powered onboarding assistant for new software engineers.,,,,,,,,,,,AI Architecture,,Hard,7
1083,Explain how database normalization reduces redundancy.,,,,,,,,,,,Explanation,,Medium,6
1084,What is the capital of Liechtenstein?,,,,,,,,,,,Factual QA,,Easy,4
1085,What is a binary number system?,,,,,,,,,,,Factual QA,,Easy,1
1086,Write a Python program to implement a simple pub/sub system using classes.,,,,,,,,,,,Coding,,Medium,0
1087,What is a hotfix?,,,,,,,,,,,Factual QA,,Easy,1
1088,Design a basic rollout plan for switching a team's project management tool.,,,,,,,,,,,Planning,,Medium,7
1089,Analyze a dataset of A/B test results to determine statistical significance.,,,,,,,,,,,Data Analysis,,Hard,5
1090,What is on-call rotation?,,,,,,,,,,,Factual QA,,Easy,1
1091,A tank holds 500 liters and is filled at 25 liters per minute. How long will it take to fill?,,,,,,,,,,,Mathematics,,Easy,8
1092,"Find the determinant of the matrix [[3,1],[2,4]].",,,,,,,,,,,Mathematics,,Medium,8
1093,Design a red-teaming process for identifying failure modes in an LLM application.,,,,,,,,,,,AI Evaluation,,Hard,5
1094,What is 221 - 279?,,,,,,,,,,,Mathematics,,Easy,3
1095,What is the capital of Botswana?,,,,,,,,,,,Factual QA,,Easy,4
1096,What is a mock object in testing?,,,,,,,,,,,Factual QA,,Easy,1
1097,Summarize this conference talk abstract in one sentence.,,,,,,,,,,,Summarization,,Medium,2
1098,Calculate the compound interest on $1000 at 5% annual rate for 3 years.,,,,,,,,,,,Mathematics,,Medium,8
1099,What is the capital of Dominican Republic?,,,,,,,,,,,Factual QA,,Easy,4
1100,"Translate ""Where can I buy tickets?"" into Polish.",,,,,,,,,,,Translation,,Easy,9
1101,What is 205 + 146?,,,,,,,,,,,Mathematics,,Easy,3
1102,Explain why database transactions use isolation levels.,,,,,,,,,,,Reasoning,,Medium,6
1103,Design an AI system for automatically categorizing and routing support emails.,,,,,,,,,,,AI Architecture,,Hard,7
1104,Design a resilient architecture for a financial risk analysis platform.,,,,,,,,,,,Architecture,,Hard,7
1105,What is 65 - 53?,,,,,,,,,,,Mathematics,,Easy,3
1106,"Translate ""I need help."" into Greek.",,,,,,,,,,,Translation,,Easy,9
1107,What is a metrics dashboard?,,,,,,,,,,,Factual QA,,Easy,1
1108,"Translate ""Where can I exchange currency?"" into Arabic.",,,,,,,,,,,Translation,,Easy,9
1109,Design a distributed architecture for a real-time energy grid monitoring system.,,,,,,,,,,,Architecture,,Hard,7
1110,What is a decorator pattern?,,,,,,,,,,,Factual QA,,Easy,1
1111,Write a Python function to count the number of uppercase letters in a string.,,,,,,,,,,,Coding,,Easy,0
1112,What is an SDK?,,,,,,,,,,,Factual QA,,Easy,1
1113,Explain how a Merkle tree verifies data integrity.,,,,,,,,,,,Explanation,,Medium,6
1114,What is 298 + 157?,,,,,,,,,,,Mathematics,,Easy,3
1115,What is technical onboarding?,,,,,,,,,,,Factual QA,,Easy,1
1116,What is a unit test?,,,,,,,,,,,Factual QA,,Easy,1
1117,Design a fault-tolerant architecture for an automated trading bot platform.,,,,,,,,,,,Architecture,,Hard,7
1118,Explain the difference between symmetric and asymmetric encryption.,,,,,,,,,,,Factual QA,,Medium,6
1119,What is the capital of Mozambique?,,,,,,,,,,,Factual QA,,Easy,4
1120,Write a Python function to capitalize the first letter of each word in a sentence.,,,,,,,,,,,Coding,,Easy,0
1121,Explain how exponential backoff works in retry logic.,,,,,,,,,,,Explanation,,Medium,6
1122,"Translate ""This is delicious."" into German.",,,,,,,,,,,Translation,,Easy,9
1123,Design a feature store architecture for serving real-time ML predictions.,,,,,,,,,,,ML,,Hard,7
1124,Explain how a write-ahead log ensures durability.,,,,,,,,,,,Explanation,,Medium,5
1125,"Translate ""I am tired."" into Dutch.",,,,,,,,,,,Translation,,Easy,9
1126,"Translate ""How do I get to the airport?"" into Russian.",,,,,,,,,,,Translation,,Easy,9
1127,What is 110 - 293?,,,,,,,,,,,Mathematics,,Easy,3
1128,What is 64 - 145?,,,,,,,,,,,Mathematics,,Easy,3
1129,What is the capital of Cameroon?,,,,,,,,,,,Factual QA,,Easy,4
1130,Extract all book titles mentioned in this review.,,,,,,,,,,,Extraction,,Easy,2
1131,What is dependency injection?,,,,,,,,,,,Factual QA,,Easy,1
1132,What is distributed tracing?,,,,,,,,,,,Factual QA,,Easy,1
1133,What is 111 + 239?,,,,,,,,,,,Mathematics,,Easy,3
1134,"Translate ""Can I have the bill, please?"" into Chinese.",,,,,,,,,,,Translation,,Easy,9
1135,What is an idempotent operation?,,,,,,,,,,,Factual QA,,Easy,1
1136,Design a scalable architecture for a peer-to-peer video calling application.,,,,,,,,,,,Architecture,,Hard,7
1137,What is 295 + 90?,,,,,,,,,,,Mathematics,,Easy,3
1138,Analyze conflicting requirements between low latency and strong data consistency.,,,,,,,,,,,Reasoning,,Hard,5
1139,Analyze the trade-offs between using a shared database and database-per-service in microservices.,,,,,,,,,,,Analysis,,Hard,7
1140,What is 133 - 113?,,,,,,,,,,,Mathematics,,Easy,3
1141,What is the capital of Suriname?,,,,,,,,,,,Factual QA,,Easy,4
1142,Design a scalable architecture for a large-scale email marketing platform.,,,,,,,,,,,Architecture,,Hard,7
1143,What is observability?,,,,,,,,,,,Factual QA,,Easy,1
1144,Compare snapshot isolation and serializable isolation in databases.,,,,,,,,,,,Analysis,,Medium,5
1145,Design a scalable architecture for a crowdsourced navigation app.,,,,,,,,,,,Architecture,,Hard,7
1146,What is 270 + 225?,,,,,,,,,,,Mathematics,,Easy,3
1147,What is 241 + 295?,,,,,,,,,,,Mathematics,,Easy,3
1148,What is 273 - 217?,,,,,,,,,,,Mathematics,,Easy,3
1149,Develop an algorithm for optimal bin packing given a set of item sizes.,,,,,,,,,,,Algorithm,,Hard,7
1150,What is a singleton pattern?,,,,,,,,,,,Factual QA,,Easy,1
1151,Explain how API versioning strategies help maintain backward compatibility.,,,,,,,,,,,Explanation,,Medium,5
1152,Debug a producer-consumer implementation experiencing occasional data loss.,,,,,,,,,,,Coding,,Hard,5
1153,What is the capital of Barbados?,,,,,,,,,,,Factual QA,,Easy,4
1154,Explain how a bulkhead pattern isolates failures in a system.,,,,,,,,,,,Explanation,,Medium,6
1155,Design a strategy for detecting and mitigating credential-stuffing attacks.,,,,,,,,,,,Security,,Hard,5
1156,What is 70 - 163?,,,,,,,,,,,Mathematics,,Easy,3
1157,What is 101 + 241?,,,,,,,,,,,Mathematics,,Easy,3
1158,What is the capital of Guatemala?,,,,,,,,,,,Factual QA,,Easy,4
1159,Design an intrusion detection strategy for a cloud-based application.,,,,,,,,,,,Security,,Hard,7
1160,What is a software license?,,,,,,,,,,,Factual QA,,Easy,1
1161,What is test coverage?,,,,,,,,,,,Factual QA,,Easy,1
1162,Explain the difference between horizontal and vertical partitioning.,,,,,,,,,,,Factual QA,,Medium,6
